Model,MAE,RMSE,MAPE
XGBoost,437.37490193869155,660.2025187720545,7.620961804747201
Random Forest,547.240939789478,849.1169454725315,9.884171161511953
Linear Regression,817.3937427017996,1163.0855179159066,14.383653748324388
Mean Forecast,2676.2083809175374,3483.608897713844,31.382945357305204
Naive Forecast,4085.0224942569494,4936.329633049877,64.35304343222928
Exponential Smoothing,436074.2226711471,630175.1032958637,792.9399126255964
"SARIMA(1,1,1)(1,1,1,7)",489791.51735734066,676392.6542546725,1773.3115324162022
"ARIMA(1,1,1)",922044.2962505122,1087517.0274144572,3317.71508938883
Prophet,1607636.8546844905,2151744.016459703,116.56129640012453
